h,coupling_value,coupled_best,decoupled_exact,sa_best,sqa_best,sa_mean,sqa_mean,sa_std,sqa_std,best_gap,mean_gap,sa_shortfall,sqa_shortfall,fleet_util,strat_diff,log_ent,decp_sa_best,decp_sqa_best
0.0,0.0,894.0,894.0,894.0,894.0,867.465,887.502,11.167071168326926,4.420581131201816,0.0,20.03699999999992,0.0,0.0,0.0,0.0,0.0,894.0,894.0
1.0,0.0,894.0,894.0,894.0,894.0,876.772166666667,890.7663333333335,7.376477550968856,2.555318329068535,0.0,13.994166666666501,0.0,0.0,0.0,0.0,0.0,894.0,894.0
2.0,5.0,899.0,894.0,898.9999999999991,899.0,889.0693333333329,897.4643333333332,5.4784309884292615,0.7808854688420379,9.094947017729282e-13,8.395000000000323,9.094947017729282e-13,0.0,0.75,0.0,0.0,894.0,894.0
3.0,35.0,929.0,894.0,926.5,929.0,904.4175000000001,917.2700000000001,6.663996743892029,3.4907427985007535,2.5,12.852499999999964,2.5,0.0,0.75,0.0,0.0,894.0,894.0
4.0,64.99999999999773,958.9999999999977,894.0,953.9999999999977,958.9999999999977,921.080666666666,939.8109999999992,10.080023687680713,5.6042263533590875,5.0,18.730333333333192,5.0,0.0,0.75,0.0,0.0,894.0,894.0
